CYCLE,PK_RANDOM,Match,WGT,FK_EPA_RAN,NEST1_WT,EPA_OVERSAMPLE,EPA_DIVISION,C3_RESOURCE_TYPE,C1_RESOURCE_TYPE,C3_REPORTING_UNIT,C1_REPORTING_UNIT,GROUP_NAME,RANDOM_LAT,LAT_DD,LAT_MM,LAT_SS,LAT_DEC,RANDOM_LONG,LONG_DD,LONG_MM,LONG_SS,LONG_DEC,HYDROLOGIC_CODE,HYDROLOGIC_NAME,CAN_BE_SAM,EXCLUSION_CATEGORY,EXCLUSION_CRITERIA,SAMPLED_DATE,HECTARES,ANALYSIS_S,LOCATIONAL_DATUM,FK_PROJECT,DO_REGION,NNC_REGION,DO_CRIT,TN_NNC,TP_NNC,CHLA_NNC,Sample.Id,Station.No,Station.Name,Collect.Date,Sample.Type,Matrix,Water.Temperature,Water Temperature_VQ,Turbidity,Turbidity_VQ,Transparency..Secchi.Depth,Transparency (Secchi Depth)_VQ,Color..true,Color (true)_VQ,Specific.Conductance..Field,Specific Conductance  Field_VQ,Specific.Conductance,Specific Conductance_VQ,Oxygen..Dissolved..Field,Oxygen  Dissolved  Field_VQ,pH..Field,pH  Field_VQ,Alkalinity..Total..as.CaCO3,Alkalinity  Total (as CaCO3)_VQ,Total.Suspended.Solids..TSS,Total Suspended Solids (TSS)_VQ,Ammonia..Total..as.N,Ammonia  Total (as N)_VQ,Kjeldahl.Nitrogen..Total..as.N,Kjeldahl Nitrogen  Total  (as N)_VQ,Nitrate.Nitrite..Total..as.N,Nitrate+Nitrite  Total (as N)_VQ,Phosphorus..Total..as.P,Phosphorus  Total (as P)_VQ,Organic.Carbon..Total,Organic Carbon  Total_VQ,Calcium..Total,Calcium  Total_VQ,Magnesium..Total,Magnesium  Total_VQ,Sodium..Total,Sodium  Total_VQ,Potassium..Total,Potassium  Total_VQ,Chloride..Total,Chloride  Total_VQ,Sulfate..Total,Sulfate  Total_VQ,Fluoride..Total,Fluoride  Total_VQ,Coliform..Fecal..MF,Coliform  Fecal (MF)_VQ,Chlorophyll.A..Monochromatic,Chlorophyll-A (Monochromatic)_VQ,Pheophytin.A..Monochromatic,Pheophytin-A (Monochromatic)_VQ,Total.Dissolved.Solids..TDS.measured,Total Dissolved Solids (TDS measured)_VQ,Depth..Bottom.of.Waterbody..Sample.Site,Depth  Bottom of Waterbody  Sample Site_VQ,Sample.Depth,Sample Depth_VQ
3,Z2-SS-11038,Z2-SS-11038,12.17397469,FLSS17001-188,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,301900.0329,30,19,0.03288,30.3166758,824214.7067,82,42,14.70672,-82.7040852,3110201,UPPER SUWANNEE,Y,,,7/26/2017,,O,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-13,51687,Z2-SS-11038,7/26/2017 16:10,PRIMARY,WATER,28,,1.7,,0.3,S,120,,228,,221,,5.1,,7.2,,85,,2,UA,0.038,,0.71,,0.065,,0.62,,16,,23.4,,8.43,,5.5,,9.7,,9.6,,9.2,,0.24,,,,2.3,,1.2,I,140,A,0.3,,0.15,
3,Z2-SS-11040,Z2-SS-11040,12.17397469,FLSS17001-190,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302212.3791,30,22,12.37908,30.3701053,835414.5786,83,54,14.57856,-83.9040496,3110103,AUCILLA,Y,,,8/10/2017,,O,HPGN,Z2SS1707,Big Bend,Panhandle East,34,1.03,0.18,20,Z2SS1707-18,51688,Z2-SS-11040,8/10/2017 11:00,PRIMARY,WATER,24.1,,4.4,,0.3,S,140,,41,,41,,7.5,,5.7,,5.7,,5,I,0.025,,0.5,,0.26,,0.13,,9.8,,3.26,,1.35,,3.1,,0.43,I,6.1,,0.6,,0.077,I,,,0.92,I,0.98,I,55,A,0.3,,0.15,
3,Z2-SS-11042,Z2-SS-11042,12.17397469,FLSS17001-192,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,300332.2618,30,3,32.26176,30.0589616,820631.491,82,6,31.491,-82.1087475,3110206,SANTA FE,Y,,,8/16/2017,,O,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-20,51689,Z2-SS-11042,8/16/2017 10:50,PRIMARY,WATER,25.8,J,8.2,A,0.4,,650,,61,,94,,11.3,,5.9,,23,,8,I,0.068,,1.6,,0.004,U,0.27,,47,,11.2,,2.13,,6.8,,2.2,,10,,1.3,,0.069,I,,,4.2,,1.5,,149,,0.8,,0.3,
3,Z2-SS-11043,Z2-SS-11043,12.17397469,FLSS17001-193,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302242.8603,30,22,42.86028,30.3785723,825245.1963,82,52,45.19632,-82.8792212,3110201,UPPER SUWANNEE,Y,,,8/8/2017,,A,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-15,51690,Z2-SS-11043,8/8/2017 13:45,PRIMARY,WATER,25.3,,1.4,A,0.3,S,71,A,174,,170,,7.4,,7,,72,,2,IA,0.011,,0.61,,0.38,,0.92,,9,,19,,9.64,,5.6,,0.82,I,5.7,,3.1,,0.88,,,,0.55,U,0.4,U,116,A,0.3,,0.15,
3,Z2-SS-11046,Z2-SS-11046,12.17397469,FLSS17001-196,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,295722.8406,29,57,22.84056,29.9563446,822234.495,82,22,34.49496,-82.3762486,3110206,SANTA FE,Y,,,8/9/2017,,A,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-17,51691,Z2-SS-11046,8/9/2017 11:10,PRIMARY,WATER,25.5,,3,,0.2,,720,,65,,62,,5.6,,4.7,,6.1,,4,I,0.027,,1.8,,0.011,,0.085,,58,,8.55,,2.56,,4,,1.1,I,6.8,,0.26,I,0.055,I,,,0.55,U,0.58,I,125,,0.3,,0.15,
3,Z2-SS-11054,Z2-SS-11054,12.17397469,FLSS17001-204,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302156.5474,30,21,56.54736,30.3657076,823711.9176,82,37,11.91756,-82.6199771,3110201,UPPER SUWANNEE,Y,,,8/16/2017,,O,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-21,51692,Z2-SS-11054,8/16/2017 13:20,PRIMARY,WATER,26.3,J,0.85,,0.3,,1.20E+03,,77,,73,,12.6,,3.9,,0.65,U,2,UA,0.007,,1.5,,0.004,U,0.098,,85,,3.39,,1.46,,3.6,,0.3,U,5.5,,0.2,U,0.062,I,,,0.55,U,0.4,U,134,,1.2,,0.3,
3,Z2-SS-11057,Z2-SS-11057,12.17397469,FLSS17001-207,156.2742017,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,294607.3924,29,46,7.39236,29.7687201,822649.2148,82,26,49.21476,-82.4470041,3110206,SANTA FE,Y,,,8/15/2017,,O,HPGN,Z2SS1707,Big Bend,North Central,34,1.87,0.3,20,Z2SS1707-19,51693,Z2-SS-11057,8/15/2017 16:45,PRIMARY,WATER,26.1,J,28,,0.2,S,61,,320,,311,,16.4,J,7.7,,109,,39,,0.041,,0.94,,0.61,,1.5,,12,,30.6,,10.6,,14.5,,9.7,,16,,19,,0.27,,,,3.4,I,3.3,,215,,0.2,,0.1,
3,Z2-SS-9001,Z2-SS-9001,12.67031522,FLSS15001-151,162.6455982,0,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302036.5158,30,20,36.51576,30.3434766,835938.0119,83,59,38.01192,-83.9938922,3110103,AUCILLA RIVER,Y,,,7/2/2015,,O,HGPN,Z2SS1507,Big Bend,Panhandle East,34,1.03,0.18,20,Z2SS1507-3,47704,Z2-SS-9001,7/2/2015 9:45,PRIMARY,WATER,20.6,,0.25,,0.4,S,2.5,U,283,,270,A,3.4,,7.6,,133,A,2,U,0.006,,0.08,U,0.41,,0.039,,0.5,U,43,,8.91,,3.6,,0.39,I,5.7,A,5.3,A,0.15,,8,BQ,,,,,156,A,0.4,,0.2,
3,Z2-SS-9008,Z2-SS-9008,12.67031522,FLSS15001-158,162.6455982,0,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302040.1561,30,20,40.15608,30.3444878,824644.8579,82,46,44.85792,-82.7791272,3110201,"SUWANNEE RIVER, UPPER",Y,,,7/15/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-4,47705,Z2-SS-9008,7/15/2015 12:10,PRIMARY,WATER,26,,3.7,,0.2,S,140,,72,,62,,7.4,,6.3,,7.4,,2,I,0.017,,0.64,,0.16,,2,,11,,7.55,,1.61,,3.8,,1.4,,8.1,,3.4,,0.57,,1.10E+03,BQ,0.55,I,0.4,U,52,,0.2,,0.1,
3,Z2-SS-9024,Z2-SS-9024,12.67031522,FLSS15001-174,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-C,Suwannee,302146.3856,30,21,46.38564,30.3628849,824802.3144,82,48,2.31444,-82.8006429,3110201,"SUWANNEE RIVER, UPPER",Y,,,8/11/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-9,47706,Z2-SS-9024,8/11/2015 14:00,PRIMARY,WATER,29.6,,3.4,A,0.4,S,51,A,397,,389,,4.5,,7.3,,94,,6,I,0.14,,1,,0.34,,2,,12,,32,,14,,30.8,,3.3,,7.4,A,79,,2.3,,26,BQ,7.6,,9.1,,228,,0.4,,0.2,
3,Z2-SS-9025,Z2-SS-9025,12.67031522,FLSS15001-175,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-A,Suwannee,291937.0664,29,19,37.06644,29.3269629,830520.8129,83,5,20.81292,-83.0891147,3110205,"SUWANNEE RIVER, LOWER",Y,,,7/1/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-1,47707,Z2-SS-9025,7/1/2015 12:00,PRIMARY,WATER,28.3,,2.4,A,1.2,,26,A,386,,387,,5,,7.5,,168,,3,I,0.018,,0.4,,0.77,,0.089,,4.5,,60.3,,9.21,,7.4,,1.3,,10,A,25,A,0.16,,82,,10,,3.2,,216,,4.4,,0.3,
3,Z2-SS-9029,Z2-SS-9029,12.67031522,FLSS15001-179,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-D,Suwannee,295135.9003,29,51,35.90028,29.8599723,831517.5903,83,15,17.59032,-83.2548862,3110102,ECONFINA-FENHOLOWAY,Y,,,7/21/2015,,O,HGPN,Z2SS1507,Big Bend,Panhandle East,34,1.03,0.18,20,Z2SS1507-7,47708,Z2-SS-9029,7/21/2015 12:46,PRIMARY,WATER,26.1,,22,,0.2,S,61,,584,,661,,1.1,,6.8,,348,,79,,0.042,,0.77,,0.004,U,0.21,,17,,145,,5.44,,5.7,,0.3,U,10,,4.8,,0.15,,46,AJQ,0.55,U,0.4,U,414,,0.2,,0.1,
3,Z2-SS-9034,Z2-SS-9034,12.67031522,FLSS15001-184,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-D,Suwannee,294009.0764,29,40,9.07644,29.6691879,832140.4262,83,21,40.4262,-83.3612295,3110102,ECONFINA-FENHOLOWAY,Y,,,7/21/2015,,O,HGPN,Z2SS1507,Big Bend,Panhandle East,34,1.03,0.18,20,Z2SS1507-6,47709,Z2-SS-9034,7/21/2015 11:45,PRIMARY,WATER,27.1,,2.2,A,0.2,S,130,A,2209,,2.04E+03,,5.5,,7.4,,186,,4,I,0.049,,1.3,,0.049,,0.12,,22,,73.6,,40.5,,289,,11.1,,500,,65,,0.12,,100,JQ,1.9,,1.3,,1.15E+03,A,0.2,,0.1,
3,Z2-SS-9036,Z2-SS-9036,12.67031522,FLSS15001-186,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,295537.4542,29,55,37.45416,29.9270706,822955.8604,82,29,55.86036,-82.4988501,3110206,SANTA FE RIVER,Y,,,7/22/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-8,47710,Z2-SS-9036,7/22/2015 10:20,PRIMARY,WATER,25,,3.5,,0.2,S,16,,202,,196,A,8.3,,7.8,,54,A,18,A,0.009,G,0.29,,2.4,,0.38,,2.6,,25.5,,6.51,,5,,1.8,,8.4,,22,,0.24,,1.10E+03,B,0.55,U,0.4,U,118,A,0.2,,0.1,
3,Z2-SS-9048,Z2-SS-9048,12.67031522,FLSS15001-198,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,295305.1742,29,53,5.17416,29.8847706,822903.3922,82,29,3.39216,-82.4842756,3110206,SANTA FE RIVER,Y,,,8/19/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-14,47711,Z2-SS-9048,8/19/2015 13:35,PRIMARY,WATER,25.3,,4.6,,0.2,S,180,,145,,141,,7.6,,6.3,,10,,3,I,0.02,G,1,,0.021,,0.48,,23,,13.3,,3.79,,9.9,,1.1,I,26,,8.4,,0.29,,280,Q,3.2,,0.42,I,133,,0.2,,0.1,
3,Z2-SS-9052,Z2-SS-9052,12.67031522,FLSS15001-202,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,300420.707,30,4,20.70696,30.0724186,824137.7797,82,41,37.77972,-82.6938277,3110206,SANTA FE RIVER,Y,,,8/19/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-12,47712,Z2-SS-9052,8/19/2015 11:30,PRIMARY,WATER,25.4,,2.4,,0.3,S,530,,82,,77,,9,,6.6,,24,,7,I,0.028,G,1.7,,0.081,,0.28,,52,,13.7,,2.84,,4,,1.4,,5.4,,0.55,,0.061,I,630,BQ,0.69,I,0.4,U,146,,0.3,,0.15,
3,Z2-SS-9057,Z2-SS-9057,12.67031522,FLSS15001-207,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-A,Suwannee,293959.4004,29,39,59.40036,29.6665001,830123.3742,83,1,23.3742,-83.0231595,3110205,"SUWANNEE RIVER, LOWER",Y,,,8/13/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-10,47713,Z2-SS-9057,8/13/2015 11:45,PRIMARY,WATER,24.2,,9.5,A,0.2,S,15,A,441,,428,,6.5,,7.4,,227,,4,I,0.003,IG,0.45,,0.004,U,0.024,,6.8,,88.7,,3.69,,3.6,,0.3,U,6.6,,0.78,,0.048,I,160,B,4.4,,0.4,U,261,A,0.2,,0.1,
3,Z2-SS-9059,Z2-SS-9059,12.67031522,FLSS15001-209,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,295628.1882,29,56,28.18824,29.9411634,822057.628,82,20,57.62796,-82.3493411,3110206,SANTA FE RIVER,Y,,,8/20/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-16,47714,Z2-SS-9059,8/20/2015 14:15,PRIMARY,WATER,25.6,,4,,0.4,,540,,79,,76,,5.1,,6,,13,,2,I,0.024,G,1.4,,0.042,,0.19,,45,,9.42,,3.13,,5.4,,1.4,,8.3,,2.1,,0.072,I,130,BQ,0.55,U,0.4,U,130,,3.8,,0.3,
3,Z2-SS-9066,Z2-SS-9066,12.67031522,FLSS15001-216,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,300320.7414,30,3,20.7414,30.0557615,822520.6825,82,25,20.68248,-82.4224118,3110206,SANTA FE RIVER,Y,,,8/20/2015,,O,HGPN,Z2SS1507,Big Bend,North Central,34,1.87,0.3,20,Z2SS1507-15,47716,Z2-SS-9066,8/20/2015 11:15,PRIMARY,WATER,25.5,,0.7,,0.2,,780,,62,,60,,3.4,,4.3,,0.65,U,2,I,0.047,,1.9,,0.004,U,0.031,,67,,4.2,,2.17,,4.1,,0.64,I,5.9,,0.2,U,0.042,I,25,BQ,0.63,I,0.4,U,100,,1.2,,0.3,
3,Z2-SS-9103,Z2-SS-9103,12.67031522,FLSS15001-253,162.6455982,1,,SMALL STREAM,,ZONE 2,SRWMD-B,Suwannee,291527.1364,29,15,27.13644,29.2575379,824311.8798,82,43,11.87976,-82.7199666,3110101,WACCASASSA RIVER,Y,,,10/6/2015,,O,HGPN,Z2SS1507,Peninsula,Peninsula,38,1.54,0.12,20,Z2SS1507-20,47718,Z2-SS-9103,8/31/2015 13:13,PRIMARY,WATER,23.9,,1.3,A,0.4,S,280,,215,,205,,5.9,,7.4,,89,,2,U,0.017,G,0.66,,0.46,,0.064,,19,,35.7,,5.66,,3.5,,0.3,U,5.8,,4.4,,0.067,I,130,BQ,,,,,138,,0.4,,0.2,
3,Z3-CN-10002,Z3-CN-10002,4.062447468,FLCC16001-002,41.03111811,0,,CANAL,,ZONE 3,SJRWMD-C,Middle St. Johns,285009.2,28,50,9.204,28.83589,812009.31,81,20,9.31452,-81.33592,3080101,"ST JOHNS RIVER, UPPER",Y,,,2/2/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-5,48920,Z3-CN-10002,42402.42361,PRIMARY,WATER,17.8,,1.4,A,0.5,S,120,,285,,325,A,5.9,,6.9,,83,A,2,I,0.016,G,0.77,,0.044,,0.08,,15,,38.8,,5.01,,23.1,,3.1,,42,,16,,0.11,,88,Q,3,,0.73,I,210,A,0.5,,0.25,
3,Z3-CN-10003,Z3-CN-10003,4.062447468,FLCC16001-003,41.03111811,0,,CANAL,,ZONE 3,SJRWMD-C,Upper St. Johns,282044.23,28,20,44.22984,28.34562,804550.39,80,45,50.38776,-80.764,3080101,"ST JOHNS RIVER, UPPER",Y,,,2/4/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-12,48921,Z3-CN-10003,42404.36806,PRIMARY,WATER,21.2,,3.3,,0.5,,290,,1665,,1630,,2.4,,6.9,,83,,4,I,0.11,,1.4,,0.14,,0.23,,29,,65,,29.1,,218,,6.1,,410,,75,,0.12,,120,Q,1.7,I,1.2,I,963,,0.8,,0.3,
3,Z3-CN-10004,Z3-CN-10004,4.062447468,FLCC16001-004,41.03111811,0,,CANAL,,ZONE 3,SJRWMD-C,Upper St. Johns,274302.9,27,43,2.90352,27.71747,804717.78,80,47,17.78028,-80.78827,3080101,"ST JOHNS RIVER, UPPER",Y,,,2/18/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-16,48922,Z3-CN-10004,42418.43056,PRIMARY,WATER,16.2,,1.4,,0.2,S,300,,257,,254,,6,,6.9,,56,,3,I,0.017,G,0.3,,0.005,I,0.13,,30,,24.7,,4.14,,25.3,,0.4,I,45,A,6.9,A,0.053,I,330,Q,1.3,I,0.4,U,171,A,0.2,,0.1,
3,Z3-CN-10005,Z3-CN-10005,4.062447468,FLCC16001-005,41.03111811,0,,CANAL,,ZONE 3,SJRWMD-D,Ocklawaha,290225.52,29,2,25.521,29.04042,815115.41,81,51,15.40764,-81.85428,3080102,OKLAWAHA RIVER,Y,,,2/29/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-21,49009,Z3-CN-10005,42429.47222,PRIMARY,WATER,18.2,,2.2,,1.6,,33,A,364,,354,A,5.4,,7.3,,126,A,4,I,0.066,,1.3,,0.055,,0.028,,16,,41.9,,11.4,,17.7,,6.7,,34,,9.4,,0.2,,2,BQ,6.2,,1.4,,217,,4.8,,0.3,
3,Z3-CN-10015,Z3-CN-10015,4.062447468,FLCC16001-015,41.03111811,0,,CANAL,,ZONE 3,SJRWMD-C,Upper St. Johns,273851.25,27,38,51.24984,27.64757,804030.14,80,40,30.13644,-80.67504,3080203,"INDIAN RIVER, SOUTH",Y,,,2/2/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-2,49011,Z3-CN-10015,42402.40278,PRIMARY,WATER,18.9,,2,,0.9,,240,,411,,404,,0.9,,6.7,,71,,3,I,0.14,,1.5,,0.25,,0.65,,22,,35.6,,7.61,,30.7,,6.2,,65,,28,,0.16,,8,BQ,3.3,,0.75,I,237,,5,,0.3,
3,Z3-CN-10020,Z3-CN-10020,4.062447468,FLCC16001-020,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-C,Upper St. Johns,274925.49,27,49,25.49388,27.82375,804042.78,80,40,42.78252,-80.67855,3080101,"ST JOHNS RIVER, UPPER",Y,,,2/2/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-8,49010,Z3-CN-10020,42402.56944,PRIMARY,WATER,20,,4.7,,0.65,,200,,459,,450,,8.6,,7.3,,96,,4,I,0.011,G,1.3,,0.032,,0.053,,20,,47.1,,8.84,,33.7,,2.7,,69,,25,,0.18,,39,BQ,37,,4.3,,282,,4,,0.3,
3,Z3-CN-10021,Z3-CN-10021,4.062447468,FLCC16001-021,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-D,Ocklawaha,285435.67,28,54,35.6742,28.90991,814902.7,81,49,2.70408,-81.81742,3080102,OKLAWAHA RIVER,Y,,,2/3/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-10,49007,Z3-CN-10021,42403.4375,PRIMARY,WATER,18.3,,0.9,,1.9,S,24,,370,,364,A,6.1,,7.1,,129,A,2,U,0.01,G,1.2,,0.004,U,0.028,,15,,42,,10.9,,19,,6.3,,36,,4.3,,0.2,,7,BQ,10,,2.1,,212,A,1.9,,0.3,
3,Z3-CN-10022,Z3-CN-10022,4.062447468,FLCC16001-022,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-B,Lower St. Johns,294429.21,29,44,29.21352,29.74145,815226.59,81,52,26.5908,-81.87405,3080103,"ST JOHNS RIVER, LOWER",Y,,,2/15/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-15,48923,Z3-CN-10022,42415.38889,PRIMARY,WATER,13.7,,1.5,,0.4,S,320,,176,,173,,5.2,,6.5,,36,,2,I,0.12,,2,,0.59,,0.14,,37,,19.2,,7.18,,7.3,,3.2,,12,,21,,0.11,,2,UQ,0.62,U,0.45,U,147,,0.4,,0.2,
3,Z3-CN-10023,Z3-CN-10023,4.062447468,FLCC16001-023,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-C,Indian River Lagoon,280141.03,28,1,41.0268,28.02806,803634.32,80,36,34.3152,-80.60953,3080202,"EAST COAST, MIDDLE",Y,,,2/4/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-13,48924,Z3-CN-10023,42404.46528,PRIMARY,WATER,22.8,,1.4,,0.35,S,100,A,617,,601,,5.2,,7,,84,,3,I,0.032,G,0.76,,0.15,,0.041,,17,,47.7,,11.6,,56.8,,1.9,,120,,25,,0.14,,490,Q,2.1,A,0.84,I,352,,0.4,,0.18,
3,Z3-CN-10026,Z3-CN-10026,4.062447468,FLCC16001-026,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-B,Lower St. Johns,294754.42,29,47,54.41712,29.79845,812747.53,81,27,47.52972,-81.4632,3080103,"ST JOHNS RIVER, LOWER",Y,,,2/2/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-6,48925,Z3-CN-10026,42402.53819,PRIMARY,WATER,19,,12,,0.2,S,30,,1547,,1530,,7.4,,7.3,,137,,10,I,0.27,,1.3,,0.69,,0.35,,12,,181,,35.8,,92.2,,10.6,,220,,350,,0.41,,310,Q,5.5,U,4,U,927,,0.2,,0.1,
3,Z3-CN-10028,Z3-CN-10028,4.062447468,FLCC16001-028,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-C,Indian River Lagoon,274604.51,27,46,4.5138,27.76792,802931.35,80,29,31.34688,-80.49204,3080203,"INDIAN RIVER, SOUTH",Y,,,2/8/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-14,48926,Z3-CN-10028,42408.38889,PRIMARY,WATER,14.6,,4.7,A,0.3,S,160,,533,,525,,4.4,,6.7,,125,,4,I,0.047,,1,,0.13,,0.1,,22,,48,,8.88,,50.1,,2.3,,76,,18,,0.15,,210,Q,11,,0.63,I,324,,0.3,,0.15,
3,Z3-CN-10030,Z3-CN-10030,4.062447468,FLCC16001-030,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-B,Lower St. Johns,293240.92,29,32,40.92288,29.5447,812607.79,81,26,7.79172,-81.4355,3080103,"ST JOHNS RIVER, LOWER",Y,,,2/23/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-18,48927,Z3-CN-10030,42423.47222,PRIMARY,WATER,17.1,,1.2,,0.2,S,710,,140,,139,,3.7,,5.6,,8.6,,2,U,0.025,G,2.4,,0.004,I,0.072,,72,,16.3,,3.55,,12.9,,1,I,20,,8.8,,0.035,U,120,Q,0.93,I,0.59,I,199,,0.2,,0.1,
3,Z3-CN-10032,Z3-CN-10032,4.062447468,FLCC16001-032,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-A,Nassau - St. Marys,301743.3,30,17,43.2996,30.29536,815950.56,81,59,50.55936,-81.99738,3070204,ST MARYS RIVER,Y,,,2/2/2016,,Y,HGPN,Z3CN1602,Northeast,Peninsula,34,1.54,0.12,20,Z3CN1602-1,48928,Z3-CN-10032,42402.38889,PRIMARY,WATER,14.5,,19,,0.2,S,68,A,464,,464,,3.8,,7.1,,128,,30,,0.32,,1.7,,0.42,,2.2,,13,,39.2,,11.6,,38.4,,10.8,,49,,26,,0.48,,120,BQ,9.7,A,2.3,A,258,,0.2,,0.1,
3,Z3-CN-10033,Z3-CN-10033,4.062447468,FLCC16001-033,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-C,Middle St. Johns,282837.42,28,28,37.42176,28.47706,810525.24,81,5,25.24416,-81.09035,3080101,"ST JOHNS RIVER, UPPER",Y,,,2/25/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-19,49008,Z3-CN-10033,42425.40278,PRIMARY,WATER,19.6,,2.9,,1.5,S,26,A,263,,251,,8.4,,7.5,,58,A,5,I,0.005,G,0.39,,0.004,U,0.032,,8.2,,27.3,,2.83,,20.7,,0.9,I,34,,15,,0.074,I,8,BQ,8.1,,1.5,,152,A,1.5,,0.3,
3,Z3-CN-10035,Z3-CN-10035,4.062447468,FLCC16001-035,41.03111811,1,,CANAL,,ZONE 3,SJRWMD-C,Upper St. Johns,282414.52,28,24,14.5224,28.40403,805015.18,80,50,15.17856,-80.83755,3080101,"ST JOHNS RIVER, UPPER",Y,,,3/3/2016,,Y,HGPN,Z3CN1602,Peninsula,Peninsula,38,1.54,0.12,20,Z3CN1602-23,48929,Z3-CN-10035,42432.41667,PRIMARY,WATER,19,,29,,0.5,,100,,2217,,2260,,4.4,,6.9,,114,,24,,0.084,,1.2,,0.13,,0.13,,21,,89.8,,37,,293,,7,,570,,160,,0.14,,740,BQ,12,,11,,1200,J,0.8,,0.3,
